EN_ཡིན།_I	ཡིན།	Expresses that [I have] the personal [experience that I am] something.
EN_ཡིན།_you	ཡིན།	!Expresses that [I insist] that [you are] something.
EN_ཡིན།_he	ཡིན།	!Expresses that [I insist] that [he is] something.
EN_ཡིན།_she	ཡིན།	!Expresses that [I insist] that [she is] something.
EN_ཡིན།_it	ཡིན།	!Expresses that [I insist] that [it is] something.
EN_ཡིན།_we	ཡིན།	!Expresses that [I insist] that [we are] something.
EN_ཡིན།_you (pl.)	ཡིན།	!Expresses that [I insist] that [you (pl.) are] something.
EN_ཡིན།_they (masc.)	ཡིན།	!Expresses that [I insist] that [they (masc.) are] something.
EN_ཡིན།_they (fem.)	ཡིན།	!Expresses that [I insist] that [they (fem.) are] something.
EN_ཡིན།_inanimate_a	ཡིན།	!Expresses that [I show to someone] that [something is] something else, following [my personal experience].
EN_ཡོད།_I	ཡོད།	Expresses that [I have] the personal [experience of having] something
EN_ཡོད།_you	ཡོད།	!Expresses that [I insist] on [my personal experience] that [you have] something.
EN_ཡོད།_he	ཡོད།	!Expresses that [I insist] on [my personal experience] that [he has] something.
EN_ཡོད།_she	ཡོད།	!Expresses that [I insist] on [my personal experience] that [she has] something.
EN_ཡོད།_it	ཡོད།	!Expresses that [I insist] on [my personal experience] that [it has] something.
EN_ཡོད།_we	ཡོད།	!Expresses that [I insist] on [my personal experience] that [we have] something.
EN_ཡོད།_you (pl.)	ཡོད།	!Expresses that [I insist] on [my personal experience] that [you (pl.) have] something.
EN_ཡོད།_they (masc.)	ཡོད།	!Expresses that [I insist] on [my personal experience] that [they (masc.) have] something.
EN_ཡོད།_they (fem.)	ཡོད།	!Expresses that [I insist] on [my personal experience] that [they (fem.) have] something.
EN_ཡོད།_inanimate_a	ཡོད།	!Expresses that [I insist] on [my personal experience] that [something has] something/someone else.
EN_ཡིན་ས་ཡོད།_I	ཡིན་ས་ཡོད།	Expresses that [I personally think I might be] someone/something.
EN_ཡིན་ས་ཡོད།_you	ཡིན་ས་ཡོད།	Expresses that [I personally think you might be] someone/something.
EN_ཡིན་ས་ཡོད།_he	ཡིན་ས་ཡོད།	Expresses that [I personally think he might be] someone/something.
EN_ཡིན་ས་ཡོད།_she	ཡིན་ས་ཡོད།	Expresses that [I personally think she might be] someone/something.
EN_ཡིན་ས་ཡོད།_it	ཡིན་ས་ཡོད།	Expresses that [I personally think it might be] someone/something.
EN_ཡིན་ས་ཡོད།_we	ཡིན་ས་ཡོད།	Expresses that [I personally think we might be] someone/something.
EN_ཡིན་ས་ཡོད།_you (pl.)	ཡིན་ས་ཡོད།	Expresses that [I personally think you (pl.) might be] someone/something.
EN_ཡིན་ས་ཡོད།_they (masc.)	ཡིན་ས་ཡོད།	Expresses that [I personally think they (masc.) might be] someone/something.
EN_ཡིན་ས་ཡོད།_they (fem.)	ཡིན་ས་ཡོད།	Expresses that [I personally think they (fem.) might be] someone/something.
EN_ཡིན་ས་ཡོད།_inanimate_a	ཡིན་ས་ཡོད།	Expresses that [I personally think something might be] something/someone else.
EN_ཡོད་ས་ཡོད།_I	ཡོད་ས་ཡོད།	Expresses that [I personally think I might have] someone/something.
EN_ཡོད་ས་ཡོད།_you	ཡོད་ས་ཡོད།	Expresses that [I personally think you might have] someone/something.
EN_ཡོད་ས་ཡོད།_he	ཡོད་ས་ཡོད།	Expresses that [I personally think he might have] someone/something.
EN_ཡོད་ས་ཡོད།_she	ཡོད་ས་ཡོད།	Expresses that [I personally think she might have] someone/something.
